fecha,year,month,quarter,day,week,dayofweek,is_weekend,id_fecha
2020-08-20,2020,8,3,20,34,3,0,2020820
2016-09-19,2016,9,3,19,38,0,0,2016919
2023-01-26,2023,1,1,26,4,3,0,2023126
2021-11-17,2021,11,4,17,46,2,0,20211117
2016-08-11,2016,8,3,11,32,3,0,2016811
2022-08-20,2022,8,3,20,33,5,0,2022820
2017-01-08,2017,1,1,8,1,6,1,201718
2019-05-26,2019,5,2,26,21,6,1,2019526
2021-05-20,2021,5,2,20,20,3,0,2021520
2020-05-12,2020,5,2,12,20,1,0,2020512
2015-11-09,2015,11,4,9,46,0,0,2015119
2015-02-21,2015,2,1,21,8,5,0,2015221
2020-06-09,2020,6,2,9,24,1,0,202069
2018-06-26,2018,6,2,26,26,1,0,2018626
2022-11-24,2022,11,4,24,47,3,0,20221124
2022-12-11,2022,12,4,11,49,6,1,20221211
2022-09-26,2022,9,3,26,39,0,0,2022926
2016-02-01,2016,2,1,1,5,0,0,201621
2017-10-06,2017,10,4,6,40,4,0,2017106
2015-02-04,2015,2,1,4,6,2,0,201524
2015-09-10,2015,9,3,10,37,3,0,2015910
2018-02-24,2018,2,1,24,8,5,0,2018224
2023-01-12,2023,1,1,12,2,3,0,2023112
2018-08-07,2018,8,3,7,32,1,0,201887
2017-11-20,2017,11,4,20,47,0,0,20171120
2017-11-02,2017,11,4,2,44,3,0,2017112
2023-06-11,2023,6,2,11,23,6,1,2023611
2022-12-18,2022,12,4,18,50,6,1,20221218
2023-10-05,2023,10,4,5,40,3,0,2023105
2020-07-22,2020,7,3,22,30,2,0,2020722
2023-06-14,2023,6,2,14,24,2,0,2023614
2017-04-26,2017,4,2,26,17,2,0,2017426
2020-12-07,2020,12,4,7,50,0,0,2020127
2015-12-30,2015,12,4,30,53,2,0,20151230
2021-10-09,2021,10,4,9,40,5,0,2021109
2022-09-23,2022,9,3,23,38,4,0,2022923
2016-08-23,2016,8,3,23,34,1,0,2016823
2020-01-14,2020,1,1,14,3,1,0,2020114
2019-04-04,2019,4,2,4,14,3,0,201944
2016-04-03,2016,4,2,3,13,6,1,201643
2020-03-24,2020,3,1,24,13,1,0,2020324
2016-07-03,2016,7,3,3,26,6,1,201673
2020-10-31,2020,10,4,31,44,5,0,20201031
2020-02-21,2020,2,1,21,8,4,0,2020221
2015-04-07,2015,4,2,7,15,1,0,201547
2023-05-19,2023,5,2,19,20,4,0,2023519
2019-12-06,2019,12,4,6,49,4,0,2019126
2018-06-17,2018,6,2,17,24,6,1,2018617
2019-06-12,2019,6,2,12,24,2,0,2019612
2017-02-11,2017,2,1,11,6,5,0,2017211
2015-05-18,2015,5,2,18,21,0,0,2015518
2018-10-19,2018,10,4,19,42,4,0,20181019
2017-06-27,2017,6,2,27,26,1,0,2017627
2019-12-08,2019,12,4,8,49,6,1,2019128
2023-09-07,2023,9,3,7,36,3,0,202397
2017-07-10,2017,7,3,10,28,0,0,2017710
2021-02-07,2021,2,1,7,5,6,1,202127
2021-07-08,2021,7,3,8,27,3,0,202178
2019-10-24,2019,10,4,24,43,3,0,20191024
2023-06-06,2023,6,2,6,23,1,0,202366
2018-09-07,2018,9,3,7,36,4,0,201897
2016-09-18,2016,9,3,18,37,6,1,2016918
2023-06-28,2023,6,2,28,26,2,0,2023628
2015-09-26,2015,9,3,26,39,5,0,2015926
2019-01-11,2019,1,1,11,2,4,0,2019111
2020-02-13,2020,2,1,13,7,3,0,2020213
2020-11-19,2020,11,4,19,47,3,0,20201119
2018-08-23,2018,8,3,23,34,3,0,2018823
2015-10-29,2015,10,4,29,44,3,0,20151029
2020-08-29,2020,8,3,29,35,5,0,2020829
2017-08-24,2017,8,3,24,34,3,0,2017824
2023-06-22,2023,6,2,22,25,3,0,2023622
2015-04-19,2015,4,2,19,16,6,1,2015419
2021-09-10,2021,9,3,10,36,4,0,2021910
2022-03-29,2022,3,1,29,13,1,0,2022329
2019-04-16,2019,4,2,16,16,1,0,2019416
2022-05-08,2022,5,2,8,18,6,1,202258
2015-08-22,2015,8,3,22,34,5,0,2015822
2022-10-15,2022,10,4,15,41,5,0,20221015
2017-12-23,2017,12,4,23,51,5,0,20171223
2018-06-25,2018,6,2,25,26,0,0,2018625
2021-06-24,2021,6,2,24,25,3,0,2021624
2020-08-11,2020,8,3,11,33,1,0,2020811
2018-11-07,2018,11,4,7,45,2,0,2018117
2015-03-07,2015,3,1,7,10,5,0,201537
2019-01-27,2019,1,1,27,4,6,1,2019127
2021-01-03,2021,1,1,3,53,6,1,202113
2019-07-07,2019,7,3,7,27,6,1,201977
2017-05-20,2017,5,2,20,20,5,0,2017520
2017-07-19,2017,7,3,19,29,2,0,2017719
